"id","time","pm2_5","temp","place_type","outdoor_pm2_5","outdoor_temp","outdoor_humidity"
"1","2024-04-18 19:43:57","7","24.5","house","91","31.2","81"
"2","2024-04-18 19:53:57","7","24.25","house","91","31.2","81"
"3","2024-04-18 20:03:57","8","24.25","house","91","31.2","81"
"4","2024-04-18 20:13:57","6","24.25","house","91","31.2","81"
"5","2024-04-18 20:23:57","8","24.5","house","91","31.2","81"
"6","2024-04-18 20:33:57","6","24.75","house","91","31.2","81"
"7","2024-04-18 20:53:57","4","25","house","91","31.2","81"
"8","2024-04-18 21:03:58","6","25.25","house","91","31.2","81"
"9","2024-04-18 21:13:58","6","25","house","91","31.2","81"
"10","2024-04-18 21:22:12","10","24.5","house","91","31.2","81"
"11","2024-04-18 21:24:20","4","24.25","house","91","31.2","81"
"12","2024-04-18 21:24:42","5","24.25","house","85","31.2","81"
"13","2024-04-18 21:30:39","4","24.75","house","85","31.2","81"
"14","2024-04-19 13:02:42","41","26.25","public space","149","32.9","67"
"15","2024-04-19 13:12:42","41","25.75","public space","149","34.8","58"
"16","2024-04-19 13:22:43","43","26.25","public space","149","34.8","58"
"17","2024-04-19 13:32:43","42","26.75","public space","149","33","72"
"18","2024-04-19 13:42:49","44","26.5","public space","149","33","72"
"19","2024-04-19 13:52:42","45","26.5","public space","151","33","72"
"20","2024-04-19 14:02:42","39","26.25","public space","151","33","72"
"21","2024-04-19 14:12:42","39","26","public space","151","33","72"
"22","2024-04-19 14:22:42","39","26.25","public space","151","33","72"
"23","2024-04-19 14:32:42","38","26","public space","151","33","72"
"24","2024-04-19 14:42:42","38","26","public space","141","33","72"
"25","2024-04-19 14:52:43","33","26","public space","141","33","72"
"26","2024-04-19 15:02:43","34","26.25","public space","141","33","72"
"27","2024-04-19 15:12:43","34","25.75","public space","141","33","72"
"28","2024-04-19 15:22:43","38","25.75","public space","141","33","72"
"29","2024-04-19 15:32:43","43","25.75","public space","138","33","72"
"30","2024-04-19 15:42:43","43","25.5","public space","138","33","72"
"31","2024-04-19 15:52:43","46","25.75","public space","138","33","72"
"32","2024-04-19 16:02:43","45","25.5","public space","138","33","72"
"33","2024-04-19 16:12:43","38","25.5","public space","138","34.5","58"
"34","2024-04-19 16:22:43","39","25.5","public space","131","32.8","71"
"35","2024-04-19 16:32:43","44","25.5","public space","131","32.8","71"
"36","2024-04-19 16:42:43","43","25.5","public space","131","32.8","71"
"37","2024-04-19 16:52:43","37","25.25","public space","131","32.8","71"
"38","2024-04-22 21:25:41","15","23.75","house","131","32.8","71"
"39","2024-04-22 21:26:44","14","23.5","house","82","32","79"
"40","2024-04-24 14:08:20","22","30.25","house","82","32","79"
"41","2024-04-24 14:08:42","15","30","house","92","34.5","68"
"42","2024-04-24 15:02:25","11","28.25","house","92","34.5","68"
"43","2024-04-24 15:05:26","11","28.5","house","85","37","44"
"44","2024-04-24 15:15:26","11","28","house","92","36","50"
"45","2024-04-24 15:25:26","11","27.75","house","92","36","50"
"46","2024-04-24 15:35:26","14","27.5","house","92","36","50"
"47","2024-04-24 15:45:26","11","27","house","92","36","50"
"48","2024-04-24 15:55:27","9","27","house","92","36","50"
"49","2024-04-24 16:05:27","12","27","house","92","36","50"
"50","2024-04-24 16:09:30","7","28.75","house","92","36","50"
"51","2024-04-24 16:19:30","7","25.25","house","92","36","50"
